class,answer
คาเฟ่่ธรรมชาติ,"Laze BKK สะพานควาย LAZE BKK คือที่ที่เราอยากเรียกว่าเป็น 'พื้นที่การใช้ชีวิต' แห่งใหม่ของย่านสุทธิสาร มากกว่าจะเป็นแค่คาเฟ่หรือร้านกาแฟ เพราะเพียงแค่ผลักประตูเข้าไปในข้างใน เราก็รู้สึกได้ถึงบรรยากาศของความเอื่อยช้า แต่ดีต่อใจ https://www.instagram.com/lazebkk/ เปิดให้บริการวันอังคาร-อาทิตย์ 9.00–18.00 น. https://maps.app.goo.gl/L8YoV6SPwsks1MDS9
patom organic living พร้อมพงษ์ Patom ออร์แกนิกคาเฟ่เปิดใหม่ใจกลางทองหล่อ กลาสเฮ้าส์แสนอบอุ่นที่รายล้อมด้วยพื้นที่สีเขียวสุดร่มรื่น ภายใต้คอนเซ็ปต์ Organic Living เน้นเสิร์ฟเมนูสุขภาพ ผัก และผลไม้ ด้วยวัตถุดิบออร์แกนิคมาตรฐานสากลจากกลุ่มเกษตรกรในมูลนิธิสังคมสุขใจ	https://www.facebook.com/patom.organics/?locale=th_TH เปิดให้บริการทุกวัน 9:30-18:00 น. https://maps.app.goo.gl/AHeUzSH3YoBVK4NW9
Babyccino พระโขนง Babyccino มาพร้อมกับคอนเซ็ปต์พื้นที่แฮงเอาต์แบบ 'Craft and Sustainability' ที่อยากจะนำเสนอทุกความใส่ใจ นับตั้งแต่การออกแบบตกแต่งร้าน ที่เสริมกิมมิกน่ารัก ๆ ด้วยงานฝีมือของคนไทยมากมาย https://www.instagram.com/babyccinobkk/?hl=en เปิดให้บริการทุกวัน 8:30-18:30 น. https://maps.app.goo.gl/Beq3UFiRZEn3StBS7"
คาเฟ่สายอาร์ต,"Picolo Vicolo Cafe ราชเทวี คาเฟ่เปิดใหม่ดีไซน์สวยในโครงการ Galileoasis อาร์ตสเปซของคนดีไซน์ที่รวมครบทั้งคาเฟ่ แกลเลอรี โรงแรมและโรงละครเอาไว้ในที่เดียว https://www.facebook.com/profile.php?id=100075955778521 เปิดให้บริการ 9:00-21:00 น. ปิดให้บริการทุกวันอังคาร https://maps.app.goo.gl/EoFE4qxgnotm3jDR9
A Clay Cafe ช่องนนทรี คาเฟ่สีฟ้าสุดเก๋ ย่านสาทร ที่น่านั่งจิบชาชิลๆ ด้วยการตกแต่งร้านที่ให้ฟีลเหมือนอยู่บ้าน ทำให้รู้สึกอบอุ่นเป็นกันเอง ในร้านยังมีการตกแต่งด้วยเซรามิกสุดน่ารักอยู่ทุกๆ มุม https://www.facebook.com/aclaycafe	เปิดให้บริการวันอังคาร-วันเสาร์ 11:00-22:00 น. https://maps.app.goo.gl/6RjVDMNDQCTs7ESr7
Paint Bar Bangkok พร้อมพงษ์/ทองหล่อ	ใครที่อยากใช้เวลาพักผ่อนด้วยการลงมือวาดภาพสวยๆ ด้วยตัวเอง ท่ามกลางวิวดีๆ บนตึกกลางกรุงเทพฯ จิบเครื่องดื่ม แกล้มกับของว่างทานเพลินๆ Paint Bar Bangkok ก็ดูจะตอบโจทย์มากที่สุด https://www.facebook.com/PaintbarBangkok/ เปิดให้บริการวันอังคาร-วันอาทิตย์ 10:00-22:00 น. แบ่งเป็น 5 รอบ https://maps.app.goo.gl/o1rJmCL2PQb4SZZb9"
คาเฟ่สัตว์นำสัตว์เลี้ยงไปได้,"Dog in Town Ari อารีย์ วันหยุดนี้ ไม่ได้เดินทางไปไหน ว่างๆ เบื่อๆ เซ็งๆ ไปเล่น ไปป้อนขนม กับน้องหมากันดีกว่าครับ สวัสดีก็ได้ ถ่ายรูปก็ได้ กอดก็ได้ บอกเลยว่าน้องๆ น่ารักมาก อยู่ทั้งวันก็ไม่เบื่อ หลงรักเลยจริงๆ https://www.facebook.com/DogInTownCafeAri/ เปิดให้บริการทุกวัน 11:00-20:00 น. https://maps.app.goo.gl/aueJ1ZDFcGMzjrdP8
Little ZOO cafe อ่อนนุช คาเฟ่ที่รวบรวมสัตว์แปลก หลากหลายชนิด ไว้ให้ลูกค้าได้มาสัมผัสใกล้ชิดแบบตัวเป็นๆ และตอนนี้เค้าก็มาเปิดสาขาอยู่ในโครงการ PEOPLE PARK COMMUNITY อ่อนนุช https://www.facebook.com/littlezoocafe/ เปิดให้บริการวันอังคาร-วันเสาร์ 10:00-19:00 น. https://maps.app.goo.gl/Bji85DRRoFKoKNpu7
TrueLove at Neverland อารีย์ TrueLove Café เรียกได้ว่าเป็นคอมมูนิตี้เล็กๆ ของคนรักน้องหมาพันธุ์ไซบีเรียน ฮัสกี้เลยก็ว่าได้เพราะที่นี่นอกจากจะเป็นคาเฟ่แล้วยังเป็นฟาร์มสุนัขพันธุ์ไซบีเรียน ฮัสกี้มากว่า 13 ปีอีกด้วย https://www.facebook.com/neverlandsiberians/ เปิดให้บริการทุกวัน 12:00-17:00 น. https://maps.app.goo.gl/YRGA854sy2aYHASj8"
คาเฟ่แนวโฮมมี่,"POET HOUSE CAFE อารีย์ คาเฟ่สุดชิลล์ในย่านอารีย์ซอย 5 ที่พร้อมเสิร์ฟหลากหลายเมนูอาหารสไตล์ Comfort Food ในบรรยากาศบ้านหลังน้อยแสนสบายที่สามารถนั่งแฮงก์เอาท์กับเพื่อน ๆ หรือนั่งทำงานชิลล์ ๆ กันได้ตลอดวัน  https://www.facebook.com/poethouse.ari5/?locale=th_TH เปิดให้บริการทุกวัน 9:00-20:00 น. https://maps.app.goo.gl/3812KZFyNnnUaoo57
Mareeji Cafe & Casual Dining ทองหล่อ คาเฟ่และร้านอาหารที่พร้อมเสิร์ฟความอร่อยแบบโฮมเมด ท่ามกลางบรรยากาศสุดพิเศษแบบ Casual Dining ที่ให้ทั้งความรู้สึกอบอุ่น สบาย ๆ อีกทั้งยังรายล้อมไปด้วยต้นไม้https://www.facebook.com/mareejicafe// เปิดให้บริการวันจันทร์-วันอาทิตย์ 10:00-20:00 น. https://maps.app.goo.gl/UGHSGfc1fbMQXLLU9
Stockroom ราชเทวี คาเฟ่บรรยากาศดีในย่านราชเทวีค่ะ ร้านนี้อยู่ไม่ไกลจาก BTS ราชเทวีเลย เดินทางมาง่ายมากๆ แถมมาถึงแล้วจะประทับใจกับบรรยากาศดีๆ ของร้าน ที่ตกแต่งสไตล์โฮมมี่ มีความอบอุ่นและ Cozy น่านั่งมากกก https://www.facebook.com/stockroombangkok/ เปิดให้บริการวันอังคาร-วันศุกร์ 08.30-17.00 น.และวันเสาร์-วันอาทิตย์ 09.00-17.30 น. https://maps.app.goo.gl/51DwrPZ21tqzrgEA8"
คาเฟ่แนวแฟนตาซี,"Stretsis cafe ชิดลม/เพลินจิต คาเฟ่ลึกลับท่ามกลางห้องรับรองสุดอลังการที่เต็มไปด้วยจินตนาการของโลกแฟนตาซี ด้านในได้ถูกตกแต่งอย่างสวยงาม โดดเด่นด้วยเพดานสูงโค้งลายท้องฟ้าและดวงดาวที่มาพร้อมที่นั่งสุดโรแมนติกบนชั้นลอย ด้านในสุดเป็นพื้นที่ของห้อง Swan Room หรือห้องลับส่วนตัวในธีมสีชมพู https://www.facebook.com/SretsisParlour/?locale=th_TH เปิดให้บริการทุกวัน 10.00-20.00 น. https://maps.app.goo.gl/HHMwdNMU1daNy7T47?g_st=ic
Del Luna cafe เอกมัย คาเฟ่สไตล์เกาหลีบรรยากาศโรแมนติก โดยภายในร้านจะเสริ์ฟทั้งกาแฟ ชาต่างๆทั้งร้อนเย็น เน้นเมนูเกาหลี ขนมเกาหลีโบราณ เมนูซีรี่ส์เกาหลี เครื่องดื่มเกาหลีที่ไม่มีที่ไหนเหมือนในประเทศไทย https://www.facebook.com/dellunacafebkk/ เปิดให้บริการทุกวัน 17.00-01.00 น. https://maps.app.goo.gl/N7gaqfF3YBbYWs5C6?g_st=ic
Wizard of Scene by Scene Bangkok บางหว้า คาเฟ่ย่านราชพฤกษ์ที่มาในธีมเมืองเวทมนต์และเมนูลับๆ ที่ได้แรงบันดาลใจมาจากหนังสือชุดที่โด่งดังที่สุดตลอดกาล Harry Potter โดยด้านหน้าจะเป็นสวนสไตล์อังกฤษ ที่ปรับธีมให้มีความขลังเหมือนเรากำลังอยู่ในโลกเวทมนตร์ ด้านหน้าทางเข้าจะมีกองฟักทองตกแต่งให้เป็นพร้อพ และเมื่อเข้าไปในร้าน จะเหมือนกับเราหลุดเข้าไปในอีกโลกๆ นึง ที่ตกแต่งในธีมของร้านขนมเวทมนตร์	https://www.facebook.com/Scenebangkok.th เปิดให้บริการทุกวัน 07.00–21.00 น https://maps.app.goo.gl/TZykkXHT1WfR43Hm9?g_st=ic"
คาเฟ่แนววินเทจ,"Botanica Cafe สำโรง โลกอีกใบของคนรักของสะสมแอนทีค ที่นี่มีอุปกรณ์มากมายไม่ว่าจะเป็น จาน ชาม แก้ว แจกัน ซึ่งทุกอย่างมีลวดลายละเอียดเป็นลายครามสวยงาม โดยเมนูขนมส่วนใหญ่ของทางร้านเป็นเบเกอรีสูตรโฮมเมด ที่มีหน้าตาสวยงามพร้อมเสิร์ฟลงบนจานลายครามสวย https://www.facebook.com/Botanica.bkk เปิดให้บริการ 12.00-21.30 น. ปิดให้บริการทุกวันพุธ https://maps.app.goo.gl/VJMfqCN32b3noTASA?g_st=ic
(un)Fashion District 39  พร้อมพงศ์ เป็นทั้งคาเฟ่ ร้านอาหาร และ Vintage Store รวมอยู่ในพื้นที่เดียวกัน ตกแต่งสไตล์ Japanese Loft มู้ดวินเทจๆ ที่อยากให้ทุกคนเข้ามาแล้วรู้สึกรีแลกซ์ https://www.instagram.com/unfashiondistrict39/?igshid=YmMyMTA2M2Y%3D เปิดให้บริการทุกวัน 10.00-19.00 น.        https://maps.app.goo.gl/hBJVz2EN6MKwu6nW9?g_st=ic
Bask Project พร้อมพงศ์  “Bask Project” เป็นคอมมูนิตี้ที่อ้าแขนพร้อมต้อนรับทุกคนที่สนใจสบายๆเหมือนแวะเวียนมาเยี่ยมเยือนบ้านคนกันเอง โดยที่นี่สามารถเป็นได้เป็นได้ทั้งร้านกาแฟ ร้านขายของ ร้านขายเสื้อผ้ามือสอง พื้นที่ทำงาน ห้องพักผ่อนหย่อนใจ นิทรรศการศิลปะ สตูดิโอสุดเจ๋ง Workshop เฉพาะกิจ และอื่นๆ อีกมากมาย https://www.facebook.com/baskproject/ เปิดให้บริการ 10.00-18.00 น. ปิดให้บริการทุกวันพุธ https://maps.app.goo.gl/KupcjzZjw4K7nwYT9?g_st=ic"
คาเฟ่แนวมินิมอล,"Sarnies Bangkok สะพานตากสิน ร้านกาแฟบรรยากาศตึกเก่าที่มีอายุราว 150 ปี การตกแต่งภายในและภายนอกยังคงความเป็นเอกลักษณ์ของตึกไว้เป็นอย่างดีเหมาะกับคนรักกาแฟ และรักการใช้ชีวิตแบบ Slow life https://www.bkkmenu.com/eat/we-recommend/sarnies-bangkok.html เปิดให้บริการวันอาทิตย์-วันพฤหัสบดี 08.00-22.00 น,วันศุกร์-วันเสาร์ 08.00-23.00 น. https://maps.app.goo.gl/rrwiUZBf8P6KUp5B6?g_st=ic
F.I.X Coffee เอกมัย เป็นแหล่งที่พักใจที่ยังมีตัวช่วยมาซ่อมแซมความรู้สึกและความเหนื่อยล้าในทุก ๆ วันด้วยการสร้างสรรค์เครื่องดื่ม อาหารว่างและขนมอีกหลากหลายเมนูที่จะช่วยรีเฟรชวันอันเหน็ดเหนื่อยให้สดชื่นยิ่งขึ้น	https://www.facebook.com/fixcoffeebkk/?locale=th_TH เปิดให้บริการวันจันทร์-ศุกร์ 07.00-18.00 น.,วันเสาร์-วันอาทิตย์ 08.00-18.00 น. https://maps.app.goo.gl/K3Jk9wXMpkzih7197?g_st=ic
LAZE BKK สะพานควาย เป็นคาเฟ่ที่รีโนเวตจากตึกแถวเก่าอายุ 60 ปี โดยอยากจะถ่ายทอดประสบการณ์ความประทับใจจากการดื่มกาแฟในช่วงเวลาที่เหนื่อยล้า https://www.facebook.com/Lazebkk/	เปิดให้บริการวันอังคาร-อาทิตย์ 9.00–18.00 น. https://maps.app.goo.gl/UnGXToFrSoggVDfNA?g_st=ic"
คาเฟ่หมา,"Dog In Town อารีย์ คาเฟ่ย่านอารีย์สำหรับคนรักน้องหมา โดยที่นี่จะมีโซน Outdoor สนามหญ้าใหญ่ให้เจ้าแก๊งรถไฟฟ้าทั้งหลายออกมาวิ่งเล่นกัน นอกจากนี้ที่นี่ยังมีอาหารและเครื่องดื่มให้ลิ้มลองมากมาย https://www.facebook.com/DogInTownCafeAri/ เปิดให้บริการทุกวัน 11.00-21.00 น. https://maps.app.goo.gl/LALhrd1X9146yF2s8?g_st=ic
Dog country Mitx หมอชิต สำหรับคนที่รักสัตว์ การได้นั่งเล่นและใช้เวลาร่วมกับสัตว์ก็ถือเป็นช่วงเวลาที่เพลิดเพลินและผ่อนคลายเป็นที่สุด ใครที่อยากเล่นกับสัตว์สุดน่ารักอย่างน้องหมากันแบบเต็มอิ่ม และมีอาหารอร่อยๆ ให้กินด้วย https://www.facebook.com/dogcountrycafe/ เปิดให้บริการทุกวัน 09.30-21.00 น. https://maps.app.goo.gl/At8yHXsLGkxf6AqJ7?g_st=ic
Big Dog Cafe ห้าแยกลาดพร้าว เป็นคาเฟ่ที่ส่วนใหญ่มีน้องหมาไซส์ใหญ่เยอะมาก และก็ใจดีตามชื่อร้านของเขาเลย น้องๆ น่ารัก เชื่อฟังมาก โซนเล่นกับน้องหมา และโซนทานอาหารจะแยกอย่างชัดเจน มีอาหารฟิวชั่น และเครื่องดื่มให้เลือกมายมาย https://www.facebook.com/bigdogcafe/ เปิดให้บริการ 10.00-20.00 น. ปิดให้บริการทุกวันพุธ        https://maps.app.goo.gl/5gfY787bNinXbZ9P8?g_st=ic"
คาเฟ่แมว,"Caturday cat cafe ราชเทวี คาเฟ่แมวสุดน่ารัก ที่มีไอเดียการตกแต่งด้วยลายการ์ตูน มีน้องเหมียวมากมายหลายสายพันธุ์ บรรยากาศในร้านก็น่ารัก กว้างขวาง ดูสะอาดสะอ้าน แถมมีของน่ารักกระจุกกระจิกประดับ https://www.facebook.com/caturdaycatcafe/ เปิดบริการ : วันอังคาร - วันศุกร์ 12.00-21.00 น./วันเสาร์-วันอาทิตย์ 11.00-21.00 น. (ปิดวันจันทร์) https://maps.app.goo.gl/UoaNqmaJpCnN8Syt9
Chico Design Bangkok ทองหล่อ ถ้าเบื่อแมวฝรั่ง แวะมาคาเฟ่แห่งนี้สิ คาเฟ่แมวไทย แต่ถ้าเป็นเรื่องของอาหารต่างๆ คุณจะได้รสชาติแบบญี่ปุ่นเต็มๆ และยังมีโซนขายของจิปาถะให้เลือกช้อปอีกด้วย https://www.facebook.com/chicoshopbkk เปิดทำการ : 09.30-18.00 น. https://maps.app.goo.gl/ieZCRecKa7xVipao7
Cattitude Cat Cafe อุดมสุข คาเฟ่มีบริการอาบน้ำ ตัดขน Grooming บริการโรงแรมแมว รับฝากเลี้ยงน้องแมวพร้อมบริการอัพเดตน้องผ่านไลน์ตลอดในแอร์เย็นฉ่ำ 24 ชั่วโมง สามารถพาลูกหลานมาให้น้องแมวอ้อนได้ทั้งวัน https://www.facebook.com/cattitude.th?_rdc=1&_rdr เวลาเปิด-ปิด : ทุกวัน ตั้งแต่เวลา 10.00-20.00 น.  https://maps.app.goo.gl/AfZmiZopjKo3YVej7"
คาเฟ่อ่านหนังสือ,"Babyccino เอกมัย คาเฟ่แห่งนี้ดูร่มรื่นเหมาะแก่การมานั่งทำงานชิลล์ ๆ แถมยังมีเมนูให้เลือกมากมาย เรียกว่าคุณสามารถอิ่มอร่อยกับอาหารพร้อมนั่งคิดไอเดียดี ๆ ได้ภายในร้านเดียว https://www.facebook.com/babyccinobkk/?locale=th_TH เวลาเปิด-ปิด : ทุกวัน ตั้งแต่เวลา 08:00-18:30 น. https://maps.app.goo.gl/zp2KkqBWLGijaGWW9
Fuel in the Blank มหาวิทยาลัยเกษตรศาสตร์ คาเฟ่ที่มีการนำต้นไม้มาตกแต่งตัดกับปูนเปลือย ทำให้บรรยากาศภายในร้านดูสบายตา เหมาะแก่การหลบมานั่งอ่านหนังสือหรือทำงานเงียบ ๆ พร้อมจิบกาแฟ https://www.facebook.com/FuelintheBlank/ เวลาเปิด-ปิด : ทุกวัน ตั้งแต่เวลา 10:00-20:00 น. https://maps.app.goo.gl/4UHXLSAYDhMi4ttZ9
NANA Coffee Roasters Ari อารีย์ เป็นคาเฟ่แนว Specialty Coffee บรรยากาศด้านในใช้แสงธรรมชาติ เฟอร์นิเจอร์เป็นไม้สีอ่อน บวกกับสีขาวของหินอ่อน เหมาะแก่การมานั่งจิบกาแฟ อ่านหนังสือ หรือนั่งหาไอเดียการทำงาน https://www.facebook.com/nanacoffeeroastersari/?locale=th_TH เปิดบริการ : 07.00-18.00 น. (เสาร์-อาทิตย์ และนักขัตฤกษ์ เปิด 08.00 - 18.00 น.) https://maps.app.goo.gl/FwKcN7fTRG1zSq5C7"
คาเฟ่แนวญี่ปุ่น,"Wabi Cha สยาม คาเฟ่ขนมญี่ปุ่นแบบดั้งเดิม ตั้งแต่การตกแต่งร้านไปจนถึงวัตถุดิบที่นำเข้าจากญี่ปุ่น มีสวนหินอ่อนแบบญี่ปุ่น เหมาะกับการมานั่งจิบชาสุดละมุน พร้อมขนมสูตรต้นตำรับ https://www.facebook.com/wabichateahouse/ เวลาเปิด-ปิด : ทุกวัน ตั้งแต่เวลา 11:00-21:30น. https://maps.app.goo.gl/bkSviAY5RmqjKpzz8
Hoola and Ring Ring Cafe อารีย์ คาเฟ่ตกแต่งสไตล์ญี่ปุ่น ผสมกลิ่นอายความเป็นบาหลี ภายในร้านปูพื้นด้วยทรายเม็ดละเอียด ให้ฟีลเหมือนอยู่ริมทะเลในช่วงซัมเมอร์ ส่วนหน้าร้านก็มีป้ายรถเมล์ญี่ปุ่น https://www.facebook.com/TropihoolaAri4?fref=nf&ref=embed_post เวลาเปิด-ปิด : ทุกวัน ตั้งแต่เวลา 11:00-18:00 น. https://maps.app.goo.gl/SsurJPmfekjyiWej7
Tokyo Sweets สยาม คาเฟ่สไตล์ญี่ปุ่น ตัวร้านเน้นการตกแต่งแบบเรียบง่าย ใช้โทนสีขาวเป็นหลัก ให้ความรู้สึกมินิมอลและน่ารักสุดๆ โดยจุดเด่นของทางร้านคือ ขนมโมจิ Mochi สอดใส้รสชาติต่างๆ https://www.facebook.com/tokyo.sweets.bkk/ เวลาเปิด-ปิด : ทุกวัน ตั้งแต่เวลา 08:00-19:00 น.         https://maps.app.goo.gl/mgiUetU8QM5ti4CD8"
