CLASS,Question
0,คาเฟ่แนวธรรมชาติ
0,คาเฟ่ร่มรื่น ต้นไม้เยอะ ๆ
0,มีคาเฟ่สไตล์ธรรมชาติบ้างไหม
0,แนะนำคาเฟ่ธรรมชาติหน่อย
0,คาเฟ่แนวธรรมชาติน่าไป
0,หาคาเฟ่ต้นไม้เยอะ ๆ 
0,คาเฟ่ต้นไม้
0,มีคาเฟ่ร่มรื่นแนะนำไหม
0,อยากได้คาเฟ่แนวธรรมชาติแนะนำหน่อย
0,คาเฟ่ธรรมชาติน่าไป
0,คาเฟ่ร่มรื่นน่าไป
0,สนใจคาเฟ่ต้นไม้เยอะ ๆ 
0,คาเฟ่มีสวนต้นไม้
0,มีคาเฟ่ฟีลธรรมชาติบ้างไหม
0,คาเฟ่ออแกนนิค
0,คาเฟ่ฟีลธรรมชาติ
0,คาเฟ่ให้ฟีลร่มรื่นธรรมชาติ
0,คาเฟ่ฟีลป่าไม้
0,คาเฟ่สบาย ๆ ร่มรื่น
0,คาเฟ่ในสวน
0,คาเฟ่ธรรมชาติ
0,แนะนำคาเฟ่ธรรมชาติ
0,มีคาเฟ่ธรรมชาติแนะนำไหม
0,สนใจคาเฟ่ฟีลธรรมชาติ
0,คาเฟ่ร่มรื่น
0,คาเฟ่โอบล้อมด้วยต้นไม้
0,คาเฟ่ธรรมชาติน่่าสนใจ
0,คาเฟ่บรรยากาศร่มรื่น
0,แนะนำคาเฟ่มีสวนหน่อย
0,สนใจคาเฟ่ในสวน
0,แนะนำคาเฟ่ที่มีสวนหน่อย
0,มีคาเฟ่ให้ฟีลธรรมชาติใกล้บีทีเอสแนะนำไหม
0,ใกล้บีทีเอสมีคาเฟ่ร่มรื่นธรรมชาติบ้างไหม
0,แนะนำคาเฟ่บรรยากาศดี ร่มรื่นหน่อย
0,มีคาเฟ่ที่มีสวนบ้างไหม
0,คาเฟ่ที่มีสวนใกล้บีทีเอสมีบ้างไหม
0,คาเฟ่ธรรมชาติน่าสนใจ
0,คาเฟ่ปลูกผักออแกนนิคน่าไป
0,ช่วยแนะนำคาเฟ่ป่า ๆ ธรรมชาติ ๆ หน่อย
